,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
54322,0.0002022,0.00020225,0.000196842544056608,0.00020226750880724,0.00019995,1.90439294,27.643294167304238699,137939.353418789634770159,1552716000.0,0,0,9,5,3,3
57965,0.0002022,0.00020225,0.000196842544056608,0.00020226750880724,0.00019995,1.90356189,27.491462158183108204,137174.153185409665023142,1552719600.0,0,0,10,5,3,3
61610,0.00020226750880724,0.00020226750880724,0.000196842544056608,0.0002022888999999,0.00019995,1.93758458,27.633321552183108203,137875.498620653005790217,1552723200.0,0,0,11,5,3,3
65257,0.00019995,0.00020226750880724,0.000196842544056608,0.000201844519090426,0.000199,-1.10286983,28.55329049627399533,142645.390420006437878029,1552726800.0,0,0,12,5,3,3
68892,0.0002,0.00020226750880724,0.000196842544056608,0.000201358657068995,0.000199,-0.99009901,28.606486363818848378,142965.643516655619266883,1552730400.0,0,0,13,5,3,3
72539,0.000201103092614476,0.00020226750880724,0.000196842544056608,0.000201957584231734,0.0001990199,-0.54248634,29.176421340784066545,145822.433022785933933418,1552734000.0,0,0,14,5,3,3
76182,0.000201103092614476,0.00020226750880724,0.000196842544056608,0.000201856630175465,0.000199,1.04672579,23.349871202364111281,116967.93813736865897272,1552737600.0,0,0,15,5,3,3
79830,0.000201103092614476,0.00020226750880724,0.000196842544056608,0.00020199999999,0.0001990199,1.04672579,23.349871202364111281,116967.93813736865897272,1552741200.0,0,0,16,5,3,3
83482,0.00019811981,0.00020226750880724,0.000196842544056608,0.000201323369944515,0.0001981,-0.44230653,28.105894751589493734,140895.116937512614947266,1552744800.0,0,0,17,5,3,3
87129,0.00019811981,0.00020226750880724,0.000196842544056608,0.000199,0.0001981,-0.44230653,28.105894751589493734,140895.116937512614947266,1552748400.0,0,0,18,5,3,3
90759,0.0001981,0.00020226750880724,0.000196842544056608,0.000201776339029242,0.000197305652357151,-0.45226131,29.411870520249628346,147490.009431168684227302,1552752000.0,0,0,19,5,3,3
94404,0.0001981,0.00020226750880724,0.000197469496538062,0.00020052301238928,0.000197528188376986,-1.14582119,22.317787398523825232,111603.747911378228967981,1552755600.0,0,0,20,5,3,3
98029,0.0001955,0.00020226750880724,0.000193075099305933,0.000199284542249822,0.000193422724248801,-1.01265823,33.749103426114955128,170080.00123657390372814,1552759200.0,0,0,21,5,3,3
101672,0.000194013024895345,0.00020226750880724,0.000193075099305933,0.000199770786856311,0.00019402302489738,-1.76555702,33.811507133533468161,170401.64823657390372814,1552762800.0,0,0,22,5,3,3
105324,0.000194013024895345,0.00020226750880724,0.000193075099305933,0.000200254795996896,0.000194556247168122,-1.76555702,33.811507133533468161,170401.64823657390372814,1552766400.0,0,0,23,5,3,3
108975,0.000199343893307921,0.00020226750880724,0.000193075099305933,0.000198822738111421,0.00019518035190322,0.93361686,35.032861807953597601,176528.521019847653734146,1552770000.0,0,0,0,6,3,3
112619,0.000199749265433195,0.00020226750880724,0.000193075099305933,0.000199746491940541,0.000196547748757457,1.13886857,35.192661220300153234,177328.521019847653732103,1552773600.0,0,0,1,6,3,3
116259,0.000199749265433195,0.00020226750880724,0.000193075099305933,0.000200571394624882,0.000196422620836584,-0.03044082,34.141961220300153234,172008.521019847653732103,1552777200.0,0,0,2,6,3,3
119903,0.000199749265433195,0.00020226750880724,0.000193075099305933,0.000199540560648705,0.000196511514822252,-0.12536728,32.631932244542728377,164444.256063547653759232,1552780800.0,0,0,3,6,3,3
123558,0.000195619308426315,0.00020226750880724,0.000193075099305933,0.000200282595026735,0.000195420380677547,-3.11808978,31.169993638064406289,157178.555732046342430953,1552784400.0,0,0,4,6,3,3
127203,0.000199276792870791,0.00020226750880724,0.000193075099305933,0.000199268821918641,0.000196212418649148,-1.30669354,31.570541638064406289,159188.563993568848597962,1552788000.0,0,0,5,6,3,3
130843,0.000199276792870791,0.00020226750880724,0.000193075099305933,0.000200261139344515,0.000196690254380214,-1.13376489,28.586156847039688554,144403.161077922737675918,1552791600.0,0,0,6,6,3,3
134497,0.000200588733853233,0.00020226750880724,0.000193075099305933,0.000200588733853233,0.000196670155934333,-0.78694623,29.622926379424759485,149582.686749725282166857,1552795201.0,1,0,7,6,3,3
138141,0.000200588733853233,0.00020226750880724,0.000193075099305933,0.000200588733853233,0.000196970272059521,-0.79686753,28.519237011524759475,144115.882383317266051501,1552798800.0,0,0,8,6,3,3
141797,0.000200588733853233,0.00020226750880724,0.000193075099305933,0.00020056867498039,0.000197009699,-0.82997757,27.830054231224759466,140707.461115760391618284,1552802400.0,0,0,9,6,3,3
145449,0.00019711971,0.00020226750880724,0.000193075099305933,0.00020056867498039,0.0001971,-2.54504485,28.359225477919964743,143391.978289082152682785,1552806000.0,0,0,10,6,3,3
149082,0.0002012,0.0002012,0.000193075099305933,0.0002012,0.000198053767659617,0.62515629,38.28685775906057217,192805.499424896949381486,1552809600.0,0,0,11,6,3,3
152721,0.00020183,0.00020183,0.000193075099305933,0.00020182888,0.000198627030911238,0.915,35.883874012912636546,180712.904135643151238817,1552813200.0,0,0,12,6,3,3
156373,0.0001992,0.00020183,0.000193075099305933,0.00020183,0.0001992,-0.94632688,36.253302927837860603,182506.344497301888702146,1552816800.0,0,0,13,6,3,3
160010,0.0001992,0.00020183,0.000193075099305933,0.00020183,0.0001992,0.10050251,34.653167950872642436,174549.554991171574035611,1552820400.0,0,0,14,6,3,3
163657,0.0001992,0.00020183,0.000193075099305933,0.0002018299999,0.000199015982083851,0.10050251,35.288710937621010325,177719.043325727842715404,1552824000.0,0,0,15,6,3,3
167305,0.0001992,0.00020183,0.000193075099305933,0.0002018299999,0.000199015982083851,0.10050251,35.288710937621010325,177719.043325727842715404,1552827600.0,0,0,16,6,3,3
170949,0.00020185,0.00020185,0.000193075099305933,0.000201864067490995,0.0001991,1.89298334,32.013159808325427514,161121.758649682595075809,1552831200.0,0,0,17,6,3,3
174596,0.000200014653951905,0.0002019,0.000193075099305933,0.0002019,0.0001991,0.96650881,74.998166582994013431,374263.434399199932953338,1552834800.0,0,0,18,6,3,3
178246,0.0002019,0.0002019,0.000193075099305933,0.0002019,0.0001991,2.220412,78.022235172280637534,389115.022133115724569783,1552838400.0,0,0,19,6,3,3
181876,0.000198052807976819,0.0002019,0.000193075099305933,0.000201780524669824,0.000197033488650138,0.27260837,89.250388946110925118,445280.183344455327339753,1552842000.0,0,0,20,6,3,3
185504,0.000198052807976819,0.0002019,0.000194013024895345,0.00020092985943243,0.000197672998227152,2.08222262,77.626572918269795222,385843.33287414346484931,1552845600.0,0,0,21,6,3,3
189108,0.000198052807976819,0.0002019,0.000195619308426315,0.00020135951871765,0.000197990252224342,-0.64766736,77.564169210851282189,385521.68587414346484931,1552849200.0,0,0,22,6,3,3
192733,0.000201870977728407,0.000201926592297614,0.000195619308426315,0.000201423053774974,0.0001981217911981,1.26770095,77.943777300728495037,387401.685874143464845082,1552852800.0,0,0,23,6,3,3
196358,0.000201281624237438,0.000201926592297614,0.000195619308426315,0.00020184450754641,0.000198166994178903,0.76714115,76.879271532881909083,382054.064088906771196013,1552856400.0,0,0,0,0,4,3
199995,0.000201281624237438,0.000201926592297614,0.000195619308426315,0.000201951729108741,0.000199025955609535,2.89455875,76.71947212053535345,381254.064088906771198056,1552860000.0,0,0,1,0,4,3
203626,0.000202130707098404,0.000202130707098404,0.000195619308426315,0.00020225,0.00019921943814548,3.32860735,79.64930975953535345,395760.718704073292377812,1552863600.0,0,0,2,0,4,3
207271,0.00020365,0.00020365,0.000195619308426315,0.00020365,0.000199491418681901,4.10526529,81.72495814853535345,406019.85862010219456803,1552867200.0,0,0,3,0,4,3
210899,0.00020365,0.00020365,0.00019711971,0.00020365,0.000200114631207158,2.1945391,81.65519666463139296,405663.24002010219456803,1552870800.0,0,0,4,0,4,3
214527,0.0002039,0.0002039,0.00019711971,0.0002038,0.000199910448831844,1.65215615,86.659320620728313393,430164.672150027500636043,1552874400.0,0,0,5,0,4,3
218163,0.0002039,0.0002039,0.00019711971,0.0002038,0.000199981360246706,1.65215615,86.659320620728313393,430164.672150027500636043,1552878000.0,0,0,6,0,4,3
221777,0.0002039,0.0002039,0.00019711971,0.0002038,0.000200899999999498,3.4396814,85.259320620728313393,423185.14647822495614979,1552881600.0,0,0,7,0,4,3
225390,0.000201961521009001,0.0002039,0.00019711971,0.000207,0.000203758425936512,2.45627949,89.527791973436456145,444124.802073894982190526,1552885200.0,0,0,8,0,4,3
229003,0.000203230138620184,0.0002039,0.00019711971,0.000206979299999897,0.000203230138620184,3.09985674,89.735899635383524397,445148.802073894982190526,1552888800.0,0,0,9,0,4,3
263,0.000204801662185077,0.000207,0.000198052807976819,0.000208166721493956,0.000204704199493848,1.4371779,42.573450362903955338,209679.412825246543097781,1552921200.0,0,0,18,0,4,3
3805,0.00020469,0.000207,0.000198052807976819,0.000207135598666887,0.00020461,1.38187221,39.602388315074437126,194874.021059222214106312,1552924800.0,0,0,19,0,4,3
7330,0.000203780239917752,0.000207,0.000201281624237438,0.000205956657803929,0.000203765504579542,0.91798094,30.486346530527019245,149056.891930479400624585,1552928400.0,0,0,20,0,4,3
10876,0.000203780239917752,0.000207,0.000201281624237438,0.000205954509777003,0.000203765504579542,0.91798094,30.486346530527019245,149056.891930479400624585,1552932000.0,0,0,21,0,4,3
14443,0.000205953494041538,0.000207,0.000201281624237438,0.000205955685806781,0.000203779492751205,1.99424043,31.146346530527019243,152261.494514964053375927,1552935600.0,0,0,22,0,4,3
18015,0.00020401884102496,0.000207,0.000201281624237438,0.000205969673978444,0.000203951145646625,1.35989403,33.395902606706832826,163192.796641547889992434,1552939200.0,0,0,23,0,4,3
21569,0.000208252087775492,0.000208252087775492,0.000201917895166429,0.000208225016628386,0.000204413502657924,3.13701398,37.477859201257820408,182930.950460944562546595,1552942800.0,0,0,0,1,4,3
25050,0.000208220852148876,0.000208252087775492,0.000201917895166429,0.000208123010853666,0.000205013958147878,3.12154452,37.581969627332258516,183430.950460944562542483,1552946400.0,0,0,1,1,4,3
28526,0.000208123010853666,0.000208252087775492,0.000201961521009001,0.000208220852148876,0.000205,2.90795351,36.511604889048133702,177982.989752716872399947,1552950000.0,0,0,2,1,4,3
32068,0.0002084,0.0002084,0.000201961521009001,0.0002084,0.000205,2.2069642,36.47829197105200984,177528.220536957970672592,1552953600.0,0,0,3,1,4,3
35626,0.000205,0.0002084,0.000201961521009001,0.0002084,0.000205,0.53948014,37.657929481595234478,183274.257173754188429615,1552957200.0,0,0,4,1,4,3
39192,0.000205,0.0002084,0.000201961521009001,0.000206084700539987,0.000203765504579542,0.58881256,34.254001758083982164,166522.164434438845532724,1552960800.0,0,0,5,1,4,3
42772,0.0002059,0.0002084,0.000201961521009001,0.000205971857945146,0.000201398800000008,1.03042198,47.316320827411811766,230823.197098232896106584,1552964400.0,0,0,6,1,4,3
45603,0.0002061,0.0002084,0.000201961521009001,0.00020835,0.000203117067374085,1.12855741,51.034269263849154358,248865.064178705074509088,1552968000.0,0,0,7,1,4,3
49218,0.0002061,0.0002084,0.000202,0.00020835,0.000201888275440383,1.41212391,46.765797911141011606,227925.408583035048468352,1552971600.0,0,0,8,1,4,3
52789,0.00020835,0.0002084,0.000202,0.00020835,0.00020601370644263,0.66710328,47.17608639261422665,229871.862973551385769176,1552975200.0,0,0,9,1,4,3
56362,0.00020839,0.0002084,0.000202,0.00020839,0.000204253865972574,0.68642982,47.970405633914633006,233698.920198693156223,1552978800.0,0,0,10,1,4,3
59946,0.0002084,0.0002084,0.000202,0.000208883835528997,0.00020887,0.6763285,46.023872767246462058,224323.011132088418392327,1552982400.0,0,0,11,1,4,3
63396,0.00020887,0.000208883976192037,0.000202,0.000208886762775026,0.000205,2.67978962,41.016653625791382379,200132.704148621529196731,1552986000.0,0,0,12,1,4,3
66879,0.000208884338358396,0.000208884338358396,0.000202,0.000208885112353265,0.000205014887646735,2.32439362,39.358550628639243289,191941.822761120793608598,1552989600.0,0,0,13,1,4,3
70413,0.0002089,0.0002089,0.000202,0.0002089,0.000205013230797855,2.00112527,40.524738854734508967,197514.76178116195636109,1552993200.0,0,0,14,1,4,3
73981,0.0002089,0.0002089,0.000202,0.0002089,0.000205015978005696,2.00112527,41.662545428392837993,202977.28960576703054289,1552996800.0,0,0,15,1,4,3
77531,0.000205,0.0002089,0.000202,0.000206984264161155,0.000205,0.09684385,42.684499165502346102,207962.12040576703054289,1553000400.0,0,0,16,1,4,3
81046,0.000205,0.0002089,0.000202,0.000206985058690501,0.000205,0.09684385,42.684499165502346102,207962.12040576703054289,1553004000.0,0,0,17,1,4,3
84558,0.000202096535786078,0.0002089,0.000202,0.000205759967311484,0.0002020705880383,-1.26702048,45.274710797928643619,220716.468200548517964254,1553007600.0,0,0,18,1,4,3
88143,0.00019905,0.0002089,0.00019905,0.00019999,0.000199183407519493,-2.71736474,53.470253550022810022,261639.91124079114740613,1553011200.0,0,0,19,1,4,3
91651,0.00019999,0.0002089,0.00019905,0.000205746087313877,0.000199240000002472,-2.8961368,52.877729595486447115,258890.199247931378959819,1553014800.0,0,0,20,1,4,3
95199,0.0001981,0.0002089,0.000198,0.00020251502560915,0.00019725,-3.81381419,69.059531224588043309,340514.864365616724032084,1553018400.0,0,0,21,1,4,3
98773,0.0001962700001,0.0002089,0.0001962500001,0.000199459094086014,0.0001964,-4.70280083,76.944033332402013297,380783.133353649142301477,1553022000.0,0,0,22,1,4,3
102358,0.0001962700001,0.0002089,0.0001962500001,0.000203958907761507,0.0001964,-4.70224243,74.314869166344986866,367971.831227065305689198,1553025600.0,0,0,23,1,4,3
105881,0.00019627,0.0002089,0.0001962500001,0.000199837282503113,0.0001963,-5.73950785,71.227935755455013447,353319.677510356968858575,1553029200.0,0,0,0,2,4,3
109473,0.00019731211,0.0002089,0.0001962500001,0.000200059352110685,0.00019731211,-3.75740999,71.316911257173158691,353798.258742865117262916,1553032800.0,0,0,1,2,4,3
113070,0.00019731211,0.0002089,0.0001962500001,0.000200483419431032,0.00019731211,-5.23902483,69.457438356457283505,344739.564835926286225696,1553036400.0,0,0,2,2,4,3
116668,0.00019731211,0.0002089,0.0001962500001,0.000200584960617503,0.0001981,-5.32048464,67.415102885453407367,334935.194135656285762833,1553040000.0,0,0,3,2,4,3
120275,0.000200721725426514,0.0002089,0.0001962500001,0.000200460081836307,0.0001981199,-2.08696321,67.326205815457257529,334516.655707589318288732,1553043600.0,0,0,4,2,4,3
123869,0.000200721725426514,0.0002089,0.0001962500001,0.000203815564789387,0.00019813971199,-1.49376567,64.300249072328364771,319756.271418660631193578,1553047200.0,0,0,5,2,4,3
127459,0.000200721725426514,0.0002089,0.0001962500001,0.000202994547478089,0.000199370362963158,-2.602396,50.584185607900535169,252281.288674394402970878,1553050800.0,0,0,6,2,4,3
131063,0.000200721725426514,0.0002089,0.0001962500001,0.000199969736263125,0.000199350427920366,-3.66127889,47.519981566563192577,237413.371674394402217214,1553054400.0,0,0,7,2,4,3
134652,0.000199350427920366,0.0002089,0.0001962500001,0.000199969939033554,0.000199350427920366,-4.31944904,52.687533552890878575,263372.71662781592888829,1553058000.0,0,0,8,2,4,3
138229,0.000204477505104443,0.0002089,0.0001962500001,0.0002039886,0.000197918211179891,0.11410321,67.968163051351144278,338943.923081871968754659,1553061600.0,0,0,9,2,4,3
141783,0.000208699999998147,0.0002089,0.0001962500001,0.000208699999998147,0.000200032857478715,2.18439438,80.431619588870393836,399951.134476766185077111,1553065200.0,0,0,10,2,4,3
145337,0.000208699999998147,0.0002089,0.0001962500001,0.00020659038905182,0.000201867623240799,-0.08807578,79.268152455538564784,394302.519218396169671802,1553068800.0,0,0,11,2,4,3
148892,0.000201046119277024,0.0002089,0.0001962500001,0.000205,0.000200769622409936,-3.75242067,78.536097305786092876,390799.520998011961298481,1553072400.0,0,0,12,2,4,3
152424,0.000201046119277024,0.0002089,0.0001962500001,0.000205,0.000201858815479629,-3.7534649,77.996097305786092876,388214.358298674071886614,1553076000.0,0,0,13,2,4,3
156035,0.000201046119277024,0.0002089,0.0001962500001,0.000202999999999999,0.000201685808616641,-3.75963654,76.742806652079070302,382214.738027274648327771,1553079600.0,0,0,14,2,4,3
159630,0.00019995,0.000208699999998147,0.0001962500001,0.00020264982212497,0.00019998,-2.47093498,81.30893007171839982,405056.931929217144277485,1553083200.0,0,0,15,2,4,3
163140,0.00019995,0.000208699999998147,0.0001962500001,0.000202406870955677,0.00019995,-2.46341463,80.877347900876759641,403024.321978264995523781,1553086800.0,0,0,16,2,4,3
166739,0.00019995,0.000208699999998147,0.0001962500001,0.000202160083909883,0.00019995,-2.46341463,81.020668269772534667,403737.456266854265480092,1553090400.0,0,0,17,2,4,3
170319,0.000200014175651262,0.000208699999998147,0.0001962500001,0.000202497975,0.00019995,-1.01767031,79.641224163404252204,397045.644326117634066591,1553094000.0,0,0,18,2,4,3
173915,0.000200014175651262,0.000208699999998147,0.0001962500001,0.0002025,0.00019995,0.01208843,70.086699101192845298,349481.112824327472719703,1553097600.0,0,0,19,2,4,3
177430,0.0002025,0.000208699999998147,0.0001962500001,0.0002025,0.00019995,1.60979578,68.769611066446338501,342882.792734590451874832,1553101200.0,0,0,20,2,4,3
180985,0.000202350823304391,0.000208699999998147,0.0001962500001,0.00020245,0.000199001731675508,2.58596872,52.825280796715748498,262436.355513663576364262,1553104800.0,0,0,21,2,4,3
184564,0.000199001731675508,0.000208699999998147,0.00019627,0.000202429754999842,0.000199001731675508,1.31955179,44.458550355409431231,219856.801124926226476354,1553108400.0,0,0,22,2,4,3
188148,0.000198999741678091,0.000208699999998147,0.00019627,0.00020151158582087,0.00019895,1.31853861,47.098032542422455586,233122.743798045828476354,1553112000.0,0,0,23,2,4,3
191757,0.0001975871661039,0.000208699999998147,0.00019731211,0.000201414901930831,0.0001973330692624,0.13940153,50.821287547585897586,251929.237972826430771912,1553115600.0,0,0,0,3,4,3
195362,0.0002,0.000208699999998147,0.00019732,0.000200031922323502,0.00019731211,-0.35956518,52.908201619793314234,262350.656740318282371683,1553119200.0,0,0,1,3,4,3
198941,0.0002,0.000208699999998147,0.00019732,0.000200776806544096,0.000197331841211,-0.35956518,52.908201619793314234,262350.656740318282371683,1553122800.0,0,0,2,3,4,3
202528,0.0002,0.000208699999998147,0.00019732,0.000200285048604965,0.000197331851212,-0.35956518,52.908201619793314234,262350.656740318282371683,1553126400.0,0,0,3,3,4,3
206106,0.0001970197,0.000208699999998147,0.000196530000160003,0.0002,0.00019756,-1.16916123,55.675354947367360086,276401.297788647532099804,1553130000.0,0,0,4,3,4,3
209686,0.00019756,0.000208699999998147,0.000196530000160003,0.0002,0.000197539999999998,-0.89813096,67.908444007039750785,338326.553020067460412218,1553133600.0,0,0,5,3,4,3
213279,0.00019756,0.000208699999998147,0.000196530000160003,0.0002,0.0001976541,-0.89813096,67.908444007039750785,338326.553020067460412218,1553137200.0,0,0,6,3,4,3
216891,0.00019756,0.000208699999998147,0.000196530000160003,0.0002,0.00019765541,-0.89813096,67.908444007039750785,338326.553020067460412218,1553140800.0,0,0,7,3,4,3
220480,0.000200928310756355,0.000208699999998147,0.000196530000160003,0.000200928310756355,0.000198019798999999,0.7914757,65.378300886197465932,325539.52790094902988923,1553144400.0,0,0,8,3,4,3
224099,0.000200928310756355,0.000208699999998147,0.000196530000160003,0.000200928310756355,0.000198019798999999,-1.74654731,49.479275244316916933,246997.867056376652722037,1553148000.0,0,0,9,3,4,3
227727,0.000200928310756355,0.000205,0.000196530000160003,0.000200928310756355,0.000198019798999999,-1.98618987,36.221499465497261019,182163.598436340665945761,1553151600.0,0,0,10,3,4,3
231352,0.000199019798999998,0.000205,0.000196530000160003,0.00019999999999,0.000198,-2.91717122,48.119818837962153244,242320.154789997286234406,1553155200.0,0,0,11,3,4,3
234949,0.0001975401,0.000202971581847226,0.000196530000160003,0.000200908217925252,0.00019755985401,-2.08809422,49.326599474497071413,248473.269942121288788718,1553158800.0,0,0,12,3,4,3
238547,0.000197559753999998,0.000202971581847226,0.000196530000160003,0.000200908217925252,0.000197539999999998,-2.0783526,50.595717276685603844,254897.495878865186927872,1553162400.0,0,0,13,3,4,3
242135,0.000197559753999998,0.000202971581847226,0.000196530000160003,0.000200908217925252,0.0001979,-2.0783526,50.595717276685603844,254897.495878865186927872,1553166000.0,0,0,14,3,4,3
245697,0.000189629484212459,0.0002025,0.00008376,0.000188099670070474,0.0001855001,-5.17577547,644.458560276582716262,3621061.392239225898473348,1553169600.0,0,0,15,3,4,3
249317,0.000183674783621681,0.0002025,0.00008376,0.000182568263314247,0.000182,-9.24287197,685.449247720619503442,3858132.94630484674987625,1553173200.0,0,0,16,3,4,3
252939,0.000183930812046053,0.0002025,0.00008376,0.000189149698083042,0.000185089378659181,-8.04138052,692.524212151742624634,3896400.558636128290074098,1553176800.0,0,0,17,3,4,3
256560,0.000183930812046053,0.0002025,0.00008376,0.000188646463640118,0.000184533076517976,-9.16996936,691.238366105732035884,3889971.431421683604361669,1553180400.0,0,0,18,3,4,3
260180,0.000187,0.0002025,0.00008376,0.000186985879285737,0.0001835,-7.65432099,692.713442650934676082,3897859.541289077402222631,1553184000.0,0,0,19,3,4,3
263771,0.000185988724782326,0.000202350823304391,0.00008376,0.00018598872478232,0.000181621917330458,-6.51577536,694.589825603708506028,3908044.634340547734545567,1553187600.0,0,0,20,3,4,3
267355,0.000181512832828953,0.000201400829811498,0.00008376,0.000184968928333086,0.000181512832828953,-8.78831491,699.981697175190673639,3937924.632598978684600356,1553191200.0,0,0,21,3,4,3
270975,0.000184628636815521,0.000201400829811498,0.00008376,0.000186448828223512,0.000182427566721414,-7.22167011,700.814269905700418168,3942503.621415198963139849,1553194800.0,0,0,22,3,4,3
274578,0.000186430756283352,0.000201400829811498,0.00008376,0.000186394054655197,0.000182675094558668,-7.4329751,698.279043379463353653,3929796.897954908728272628,1553198400.0,0,0,23,3,4,3
278135,0.000186031796058748,0.000200928310756355,0.00008376,0.000186430832275878,0.000184014525670872,-6.98410197,693.987954749864462979,3908284.998100308350296106,1553202000.0,0,0,0,4,4,3
281761,0.000183,0.000200928310756355,0.00008376,0.000185467854898356,0.00018172896135753,-8.49084908,694.780892309645934736,3913686.788275350679925838,1553205600.0,0,0,1,4,4,3
